AUTOMATION ID INSPECTOR
Generated: 2026-06-25 14:57:00
Window: TradePlusX
★ = Has AutomationId   <<< = Use this!
====================================================================================================

[★] AutomationId='frmMainMenu' | Name='TradePlusX' | ControlType='Window' | ClassName='WindowsForms10.Window.8.app.0.141b42a_r7_ad1' <<<
                        [★] AutomationId='ntxtManageValAbvHc' | Name='' | ControlType='Edit' | ClassName='WindowsForms10.EDIT.app.0.141b42a_r7_ad1' <<<
                        [★] AutomationId='cmbManageRePledgee' | Name='' | ControlType='ComboBox' | ClassName='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' <<<
                            [ ] AutomationId='' | Name='' | ControlType='Text' | ClassName=''
                            [ ] AutomationId='' | Name='Open' | ControlType='Button' | ClassName=''
                        [★] AutomationId='chkManageRePledgee' | Name='Re-Pledged to' | ControlType='CheckBox' | ClassName='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' <<<
                        [★] AutomationId='Label11' | Name='Days' | ControlType='Text' | ClassName='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' <<<
                        [★] AutomationId='Label9' | Name='Days' | ControlType='Text' | ClassName='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' <<<
                        [★] AutomationId='chkItemNotReplede' | Name='Items Not Re-Pledged Only' | ControlType='CheckBox' | ClassName='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' <<<
                        [★] AutomationId='Label7' | Name='% of Margin' | ControlType='Text' | ClassName='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' <<<
                        [★] AutomationId='chkManageExcess' | Name='Excess Over' | ControlType='CheckBox' | ClassName='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' <<<
                        [★] AutomationId='cmbManageRePledgeSeg' | Name='' | ControlType='ComboBox' | ClassName='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' <<<
                            [ ] AutomationId='' | Name='' | ControlType='Text' | ClassName=''
                            [ ] AutomationId='' | Name='Open' | ControlType='Button' | ClassName=''
                        [★] AutomationId='chkManageRepldgeFor' | Name='Re-Pledged for' | ControlType='CheckBox' | ClassName='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' <<<
                        [★] AutomationId='chkManageExcRepldge' | Name='Exclude Re-Pledged' | ControlType='CheckBox' | ClassName='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' <<<
                        [★] AutomationId='chkManageValBelHc' | Name='Value After Hair-Cut Below Rs.' | ControlType='CheckBox' | ClassName='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' <<<
                        [★] AutomationId='chkManageMarReq' | Name='By Client Not Having Margin Requirement in Past ' | ControlType='CheckBox' | ClassName='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' <<<
                        [★] AutomationId='chkManageItemSold' | Name='Items Sold By Client' | ControlType='CheckBox' | ClassName='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' <<<
                        [★] AutomationId='cmbManageSeg' | Name='' | ControlType='ComboBox' | ClassName='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' <<<
                            [ ] AutomationId='' | Name='' | ControlType='Text' | ClassName=''
                            [ ] AutomationId='' | Name='Open' | ControlType='Button' | ClassName=''
                        [★] AutomationId='chk4' | Name='Segment' | ControlType='CheckBox' | ClassName='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' <<<
                        [★] AutomationId='cmbManagePledgee' | Name='' | ControlType='ComboBox' | ClassName='WindowsForms10.COMBOBOX.app.0.141b42a_r7_ad1' <<<
                            [ ] AutomationId='' | Name='' | ControlType='Text' | ClassName=''
                            [ ] AutomationId='' | Name='Open' | ControlType='Button' | ClassName=''
                        [★] AutomationId='chkManagePledgee' | Name='Pledgee A/c' | ControlType='CheckBox' | ClassName='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' <<<
                        [★] AutomationId='chkManagePledgePast' | Name='Pledged in Past ' | ControlType='CheckBox' | ClassName='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' <<<
                        [★] AutomationId='chkManageValAbvHc' | Name='Value After Hair-Cut Above Rs.' | ControlType='CheckBox' | ClassName='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' <<<
                    [★] AutomationId='dgvUnpledge' | Name='DataGridView' | ControlType='Table' | ClassName='WindowsForms10.Window.8.app.0.141b42a_r7_ad1' <<<
                        [ ] AutomationId='' | Name='Top Row' | ControlType='Custom' | ClassName=''
                            [ ] AutomationId='' | Name='PSN' | ControlType='Header' | ClassName=''
                            [ ] AutomationId='' | Name='Our DP' | ControlType='Header' | ClassName=''
                            [ ] AutomationId='' | Name='Client' | ControlType='Header' | ClassName=''
                            [ ] AutomationId='' | Name='Name' | ControlType='Header' | ClassName=''
                            [ ] AutomationId='' | Name='ISIN' | ControlType='Header' | ClassName=''
                            [ ] AutomationId='' | Name='Scrip' | ControlType='Header' | ClassName=''
                            [ ] AutomationId='' | Name='Name' | ControlType='Header' | ClassName=''
                            [ ] AutomationId='' | Name='Qty' | ControlType='Header' | ClassName=''
                            [ ] AutomationId='' | Name='Remark' | ControlType='Header' | ClassName=''
                            [ ] AutomationId='' | Name='NetValue' | ControlType='Header' | ClassName=''
                            [ ] AutomationId='' | Name='Release' | ControlType='Header' | ClassName=''
                    [★] AutomationId='Label12' | Name='Security :' | ControlType='Text' | ClassName='WindowsForms10.STATIC.app.0.141b42a_r7_ad1' <<<
                    [★] AutomationId='txtManageSecCd1' | Name='' | ControlType='Edit' | ClassName='WindowsForms10.EDIT.app.0.141b42a_r7_ad1' <<<
                    [★] AutomationId='cmdManageSecHelp1' | Name='...' | ControlType='Button' | ClassName='WindowsForms10.BUTTON.app.0.141b42a_r7_ad1' <<<
                    [★] AutomationId='txtManageSecName1' | Name='' | ControlType='Edit' | ClassName='WindowsForms10.EDIT.app.0.141b42a_r7_ad1' <<<
                    [★] AutomationId='txtManageName1' | Name='' | ControlType='Edit' | ClassName='WindowsForms10.EDIT.app.0.141b42a_r7_ad1' <<<
